,Person,Condition,Drug,Observation,Measurement,Procedure,Device,Visit,Negation,Qualifier,Temporal,Value,Multiplier,Reference_point,Mood,Post-eligibility,Pregnancy_considerations,Informed_consent
886,,hormonal condition,topical anesthetics,"difficulty in walking""",nasal abnormality history,natural teeth.|patient,,,,high risk of,during the previous 3 months,0-2|life expectancy,≥20 grams/ day,,,,,
887,,early-stage mycosis fungoides,local-regional therapies,limit compliance,plating,evaluable target lesion,,,,accart-ville,ended > 6 months before consenting for this study,>3 months)|5.vas,greater than 60 milligrams,,,,,
888,,malaria|pregnancy,oxervate,genetic evidence,af burden,m2).|creatinine clearance rate (crcl):,,,,mild to moderate pd,within 28 days prior to the first dose of the study drug.|known,i-ii|18-65 age group|operated,increased dose of ics,,,,,
889,,stable lesions,live virus,lifespan,serum sodium,mmr-varicella,,,,its outline.||7,within 1 month before screening;|active cancer,< 100*10^9/l.|hemoglobin < 90g/l.|serum creatinine,greater than six months)|ability,,,,,
890,,anticoagulation drugs.|thyroid function,amateur,dialysis dependent,crp level,acellular dermal matrix,,,,systemic therapy.||participants,in diet,"< 1500/mm^3|platelets < 100,000/mm^3|hemoglobin",2-d,,,,,
891,,infection|progressive splenomegaly,vr helmet,possible hypercoagulable state;|pre-stroke,pregnancy test should,orogastric access by gastroscope,,,,circulatory,within 2 weeks of the start of study treatment,36.4 °c and above,> 1.2|chronic kidney disease (ckd),,,,,
892,,pregnancy|contra indication,ctcae,midwives,american society of anaesthesiologists (asa) status,potentially curative therapy,,,,medical marijuana,within 12 months prior to study,greater than 200 mmhg,outside ontario,,,,,
893,,low back pain,breastfeeding;|chronic,managed for cld/cirrhosis,pr ihc showed,tobacco use|habitual excessive alcohol use|weight change,,,,cruciate ligament repair surgery,at the time of the consent date.|patients,>35 mmol/l,12 or more,,,,,
894,,human immunodeficiency virus (hiv) antibodies,garmin,prevention of,iga score,standard systemic chemotherapy,,,,n-terminal pro-bnp,within 24 hours prior to initiating lutetium lu 177 dotatate,3-17 year,>14 units,,,,,
895,,sequela,cortisol-containing medication,exposure)|pregnant,urine β-hcg test,elementary school,,,,after covid-19 nucleic acid detection,within four weeks of screening,within therapeutic range of intended use of anticoagulants||criteria,january 2023 to january,,,,,
896,,immune checkpoint inhibitors,pcs,enrolled in the kesimpta cohort or baf312a2403,nyha class,general admission floor,,,,could use it,within the past 2 years.|the patient,50 to 90 mmhg,1 to 2,,,,,
897,,dynamic left ventricular outflow tract obstruction,ocular herpes simplex,method of contraception,estimated glomerular filtration rate [egfr]<45 ml/min,pneumococcal vaccination,,,,regional anesthesia,in the last 6 months|medical revascularization,between 60 and 80 years,minimum 2 weeks prior to the first day of study therapy|exposure to,,,,,
898,,send back,mastic|antibiotics,smoking,mullen scale,unequivocal cardiac sources of embolism,,,,between i-iii.||,at screening < 30 ml/min|pregnancy,1-2|complete,10 mg or equivalent,,,,,
899,,r-huepo,angiotensin converting enzyme (ace) inhibitors,family members fully understand the trial's purpose,maximum hyperopia,prf treatment,,,,inclusive).|self reported sleep problems,rehabilitation department of our university,< 135 kg,≥ 180 days prior to screening,,,,,
900,,height measurements,nlp,silver;|life expectancy,kidney function;|igf levels,instrumental examination,,,,under guardianship,for 7 days prior to the mri scan,at least 5 days old|babies,≥ 6 months prior,,,,,
901,,medication changes,fluvoksamin,enrolled in another drug,folic acid supplementation.|history,t-dm1,,,,papanicolaou,at least 6 months after the last dose of imp,0 to 1|at least one,150 mg of,,,,,
902,,venous invasion,clcr) corrected,signed informed consent;|mfs diagnosis,gm-csf autoantibody test|pap associated,visible|partial retained iud,,,,reened,in the previous 6 months|those,from 6 to 18 years.|the children,more than 2 times,,,,,
903,,chronic focal pain,topical medications/treatments,need a combination,fecal hp antigen test,cd|complete blood count,,,,not-permitted,within six months of enrollment.|limited english proficiency.|history,>50ml/min,one year follow up||,,,,,
904,,polypoidal choroidal vasculopathy,local ethics committee requirements.||,progression of clinical symptoms despite,supplying,supplemental assay,,,,non-ocular,within 12 weeks before screening,≥16 weeks.|presence of measurable,routine use of,,,,,
905,,hepatic injury,geriatrics,nicotine product cessation,beck's depression index (bdi).|participant has,control visits).||non-inclusion criteria:||volunteers,,,,after curative treatment|active tuberculosis|severe infection,within the previous 6 months/,"<100,000/ul|alt",20 iu/ ml,,,,,
906,,infection|women,select hospitals,remain in treatment continuously,likelihood for stable disease,acute therapy,,,,midline,within 72 hours prior to this lab being drawn,or free calcium ≥6.5mg/dl(≥1.6mmol/l,single at screening,,,,,
907,,meibomian gland cyst,disorder;|patients,entry into the trial,diagnosis|surgery,allogeneic tissue/solid organ,,,,self-reported daily habit,within 6 months prior to initial administration;4,>70% stenosis,stable dose 6 weeks before starting treatment|have access to the internet,,,,,
908,,poor differentiation,medications specified,recently recovered,national comprehensive cancer network (nccn) distress thermometer,induction,,,,influenzae b,within 4 weeks before the first study dose,<10iu/l,at least prior,,,,,
909,,tumors|body mass index,cyp)3a inducers,soy,bleeding score,parathyroid intervention,,,,definitively treated)|known leptomeningeal disease,within the 4 months before visit 1 and must,≥ 50kg(man,"one, two or three",,,,,
910,,toxidromic symptoms.|acute intoxication,blood,risk of aspiration,national institute of health stroke score scale (nihss),lactation|surgical procedures,,,,silver,1 month prior to screening,≥ 40 kg/m2,greater than 10 degrees varus/valgus,,,,,
911,,immune deficiency syndrome,herbal medicine,sleep apnea|contraindications,car-t cell,live vaccination)|surgery,,,,american diabetes,within 4 weeks prior to the treatment visit,>10mg/day equivalent dose of,15-centimeter,,,,,
912,,nonalcoholic steatohepatitis||the,aromas,"lactation,|fixed",serum beta hcg pregnancy test,filtering procedure,,,,preclude protocol therapy|subjects deemed unable to comply with study,after first line|pregnant females|ecog performance,< 2.5 meq/l,once every 3 months,,,,,
913,,sleep,de-novo biopsy,processing speed,metastasis exists,allogeneic transplantation,,,,large cell neuroendocrine cancer (lcnec,experiences at least one of the following criteria:||at least one year,≤ 3x the institutional upper limit,2mg or higher,,,,,
914,,peng block,nasotracheal tube,living with hiv|on art|aware of hiv status|has,ai|estimated glomerular filtration rate (egfr),stent planned,,,,≥0.5|spherical refraction,at least 6 months after the last trial drug treatment;|subjects voluntarily participated,18 years or older)|received,for more than 48 hours|informed consent/assent,,,,,
915,,cardiovascular disorders.|diabetic ketoacidosis,imds components,children:||enrolled,hepatitis c infection|current,"vital emergency room,|patient",,,,inadequate,"at the end of the month?""|informed parental consent",20 mg,>14 alcoholic drinks per week,,,,,
916,,idiopathic membranous nephropathy,rennes,breastfeeding.|refusal to sign the informed consent form,creatinine level,percutaneous left ventricular assist devices)|life expectancy,,,,years|pregnant,within the previous 5 years|enrolled in clinical trials in which investigators,stage iv cancer|ctcae neurological function,higher than the daily,,,,,
917,,lower back pain,categorized,noncompliant from the originating gbt021601 clinical study.||current,criteria in scai definition|subject has nstemi,upper abdominal surgery|pregnancy,,,,covid19,within 6 months after the first complete remission,0-1.|symptoms consistent,greater than minimum doses,,,,,
918,,type glioma,anti-inflammatory medication,unable to provide,rods score,luteinizing hormone releasing hormone [lhrh,,,,before cardiac intervention,within 4 weeks prior to the first dose of study drug.|subjects,"≥1,000/mcl|platelets ≥80,000/mcl|total",≤1.5 g/l)|hemophagocytosis,,,,,
919,,evaluable tumor lesion,ipragliflozin,encaleret.|presence,test|best corrected distance visual acuity,e-,,,,meningococcal infection,at least 6 months after the last dose of study intervention,≥50 mg,at least 2 weeks,,,,,
920,,stopped nursing,catecholamine,unable to abstain from consuming alcohol,average,electrical stimulation therapy,,,,clinically significantly abnormal,newly diagnosed participants,> 600 mg,>1 year ago,,,,,
921,,chronic diseases|patients,left ventricular systolic,change in thickness of liquid,institute withdrawal assessment,ulna|surgical procedure done around,,,,"diagnostic and statistical manual of mental disorders, fifth edition - dsm-5",within 6 months of last receipt of platinum)|age,less than 1.1ng/ml,dose greater than 400 micrograms per day,,,,,
922,,colorectal cancer syndrome,fundus veins,chemical peel,inhibitors|hematocrit,platelet inhibition therapy,,,,medium degree,patients|patient,>11 mg/dl)|any,greater than,,,,,
923,,judged unsuitable to participate in the study by the investigator.|patients,antiprotozoals,nodal basin ultrasound surveillance,urine cotinine levels,global initiative for asthma (gina),,,,acute exacerbation phase,within the last 12 months;|be,> 5% cll involvement,toxic adenoma|thyroid,,,,,
924,,served/,full immunisation,range of motion,acting beta2 agonist (saba),perfusion scintigraphy,,,,others:|peripheral arterial,within 7 days prior to stem cell mobilization|donor,> = 1 years,>10 mg,,,,,
925,,gadobutrol.|patients,inhaled steroid therapy,csah,6-minute walking distance,immunomodulatory biologics|those,,,,grade atrioventricular block,at two (2) adjacent,more than 70%|symptomatic stenosis|asymptomatic stenosis|elective surgery patients|signed,2-,,,,,
926,,valvular diseases,medications that reduce gi motility,remain off,abdominal sepsis|acute respiratory failure||,brain imaging after,,,,pan-retinal photocoagulation (,within the last 6 months.|congestive heart failure,>= 2 years and < 18 years,> 20 if,,,,,
927,,cardiorespiratory diseases,compounds of similar chemical or biologic composition to study agent|known bleeding disorders,close to porte de la chapelle,icp,weeks;|surgical procedures,,,,thc-containing products should,at least 7,above 3 mg/l;|former,diagnosed,,,,,
928,,gilbert's syndrome ≤3 x uln,immune globulin product,unable to undergo mri (,arm t)|absolute neutrophil count (anc),hematological organ function laboratory values,,,,sglt2i|pre-existing,dental history ruling out,greater than 420 pounds - scanner,more than 3 days per week)|antibiotic use,,,,,
929,,vital sign measurement,antibody targeting the t-cell co-stimulation,render the patient ineligible,general app study,supracervical hysterectomy,,,,and related,during the next 6 months|have,< 2500 grams,less than 2).|knee,,,,,
930,,vvs,placebo,difficulty understanding,partial thromboplastin time (aptt):,immunocyte therapy,,,,ureteropelvic junction obstruction congenital renal anomalies staghorn stones,at the time of delivery)|active,minimum 2 cm margin,once for confirmation.|subject has,,,,,
931,,hematochezia,systemic drug,physical activity,open fractures|delayed presentation,stable.|adequate organ system functions.|patients should receive,,,,hiv)-positive,for less than 2 years,lower than grade,routinely than the,,,,,
932,,cutaneous adverse reaction,hormonal contraceptives should,perfusion mri.|all exclusion criteria,mmse,lap band,,,,under general anesthesia.|operation time < 3,r,<12 months)|cognitive impairment,more than one standard therapy,,,,,
933,,control bleeding,low oocyte quality.|cases,patent foramen,lipase levels,chest x-ray|abnormal pulmonary function testing,,,,diameter greater than 5cm,at least 2 weeks prior to randomization,>uln;|albumin<lln;|hiv antibody positive,one or multiple,,,,,
934,,bariatric surgery|uncontrolled hypertension,type of endoscopic surgery,changes,residual auto-immune hypothyroidism,consultation dating,,,,non-contrast cardiac ct,usually done 8-12 weeks apart,≥18 years|sle diagnosis,less than one month before the start of the,,,,,
